Date,Temp_avg,DP_avg,Humid_avg,Sea_avg,Vis_avg,Wind_avg,Precip,Snow,Rain,Fog
1/1/17,44,22,41,30.17,10,5,0,0,0,0
1/2/17,38,34,83,30.41,7,9,0.2,0,1,0
1/3/17,41,40,98,29.8,4,12,0.59,0,1,0
1/4/17,44,34,74,29.52,9,6,0,0,0,0
1/5/17,30,10,42,29.92,10,8,0,0,0,0
1/6/17,29,18,66,30.04,6,5,0.05,1,0,1
1/7/17,23,14,67,30.2,3,8,0.32,1,0,1
1/8/17,21,4,52,30.34,10,9,0,0,0,0
1/9/17,19,4,52,30.68,10,5,0,0,0,0
1/10/17,34,22,63,30.49,10,5,0,0,0,0
1/11/17,47,40,74,30.24,7,6,0.52,0,1,0
1/12/17,57,50,78,30.07,10,8,0.05,0,1,0
1/13/17,47,29,55,30.41,10,7,0,0,0,0
1/14/17,31,23,69,30.51,5,4,0.12,1,0,1
1/15/17,34,22,67,30.34,10,4,0,0,0,0
1/16/17,37,21,53,30.39,10,5,0,0,0,0
1/17/17,40,35,77,30.13,4,5,0.35,0,1,0
1/18/17,40,37,90,29.96,8,6,0.06,0,1,0
1/19/17,44,34,71,30.02,10,4,0,0,0,0
1/20/17,43,36,79,29.96,8,4,0.1,0,1,0
1/21/17,45,42,90,29.85,4,4,0,0,0,0
1/22/17,46,43,91,29.75,4,7,0.05,0,1,1
1/23/17,40,35,85,29.72,8,18,1.16,0,1,0
1/24/17,37,35,93,29.38,5,10,1.18,0,1,0
1/25/17,44,30,63,29.6,10,7,0,0,0,0
1/26/17,50,33,61,29.45,10,7,0.02,0,1,0
1/27/17,40,24,47,29.62,10,9,0,0,0,0
1/28/17,37,20,52,29.68,10,8,0,0,0,0
1/29/17,39,18,43,29.71,10,6,0,0,0,0
1/30/17,34,12,46,29.81,10,6,0,0,0,0
1/31/17,30,22,64,29.87,5,4,0.06,1,0,1
2/1/17,40,26,60,29.93,10,6,0,0,0,0
2/2/17,39,20,46,30.08,10,5,0,0,0,0
2/3/17,30,9,39,30.18,10,7,0,0,0,0
2/4/17,28,5,38,30.31,10,8,0,0,0,0
2/5/17,37,17,44,29.99,10,7,0,0,0,0
2/6/17,43,24,51,30.05,10,5,0,0,0,0
2/7/17,39,36,85,29.87,3,7,0.27,0,1,1
2/8/17,50,38,73,29.61,6,5,0.03,0,1,0
2/9/17,32,21,71,29.65,4,12,1.16,1,0,1
2/10/17,26,10,46,30.17,9,9,0,1,0,0
2/11/17,39,24,54,29.98,10,4,0,0,0,0
2/12/17,35,30,82,29.87,5,7,0.46,1,1,0
2/13/17,35,23,70,29.77,10,12,0.02,0,1,0
